municipio_cod,municipio_fato,data_fato,ano,tentado_consumado,qtde_vitimas,feriado
316760,SIMONESIA,2018-08-23,2018,TENTADO,1,False
312770,GOVERNADOR VALADARES,2018-08-23,2018,CONSUMADO,1,False
310620,BELO HORIZONTE,2018-08-24,2018,TENTADO,2,False
317020,UBERLANDIA,2018-08-24,2018,TENTADO,1,False
310470,ATALEIA,2018-08-25,2018,TENTADO,1,False
311860,CONTAGEM,2018-08-25,2018,TENTADO,1,False
314860,PECANHA,2018-08-25,2018,TENTADO,2,False
315680,SABINOPOLIS,2018-08-25,2018,TENTADO,1,False
312410,ESMERALDAS,2018-08-26,2018,CONSUMADO,1,False
314330,MONTES CLAROS,2018-08-27,2018,CONSUMADO,1,False
311320,CARANDAI,2018-08-28,2018,TENTADO,1,False
313470,JACINTO,2018-09-01,2018,CONSUMADO,1,False
316840,TARUMIRIM,2018-09-02,2018,TENTADO,1,False
314520,NOVA SERRANA,2018-09-02,2018,CONSUMADO,1,False
317070,VARGINHA,2018-09-03,2018,TENTADO,1,False
310150,ALEM PARAIBA,2018-09-03,2018,CONSUMADO,1,False
315780,SANTA LUZIA,2018-09-04,2018,CONSUMADO,1,False
316553,SARZEDO,2018-09-05,2018,CONSUMADO,1,False
311940,CORONEL FABRICIANO,2018-09-06,2018,TENTADO,2,False
311340,CARATINGA,2018-09-06,2018,CONSUMADO,1,False
313620,JOAO MONLEVADE,2018-09-07,2018,TENTADO,1,True
313670,JUIZ DE FORA,2018-09-07,2018,TENTADO,1,True
315670,SABARA,2018-09-07,2018,TENTADO,1,True
311260,CAPINOPOLIS,2018-09-07,2018,CONSUMADO,1,True
314400,MUTUM,2018-09-07,2018,CONSUMADO,1,True
310620,BELO HORIZONTE,2018-09-08,2018,TENTADO,2,False
315780,SANTA LUZIA,2018-09-10,2018,TENTADO,1,False
310670,BETIM,2018-09-11,2018,TENTADO,1,False
312230,DIVINOPOLIS,2018-09-12,2018,TENTADO,1,False
310620,BELO HORIZONTE,2018-09-12,2018,CONSUMADO,1,False
310620,BELO HORIZONTE,2018-09-13,2018,TENTADO,1,False
311860,CONTAGEM,2018-09-13,2018,TENTADO,1,False
313840,LEOPOLDINA,2018-09-13,2018,TENTADO,1,False
314710,PARA DE MINAS,2018-09-13,2018,TENTADO,1,False
315180,POCOS DE CALDAS,2018-09-13,2018,TENTADO,1,False
315670,SABARA,2018-09-13,2018,TENTADO,1,False
315600,RIO VERMELHO,2018-09-13,2018,CONSUMADO,1,False
312870,GUAXUPE,2018-09-14,2018,CONSUMADO,1,False
313510,JANAUBA,2018-09-15,2018,CONSUMADO,1,False
314330,MONTES CLAROS,2018-09-16,2018,CONSUMADO,1,False
317020,UBERLANDIA,2018-09-17,2018,TENTADO,1,False
314810,PATROCINIO,2018-09-18,2018,CONSUMADO,1,False
310670,BETIM,2018-09-19,2018,TENTADO,1,False
314990,PERDOES,2018-09-20,2018,TENTADO,1,False
317020,UBERLANDIA,2018-09-20,2018,TENTADO,1,False
313350,ITAPECERICA,2018-09-22,2018,TENTADO,1,False
314520,NOVA SERRANA,2018-09-22,2018,TENTADO,1,False
310620,BELO HORIZONTE,2018-09-23,2018,TENTADO,1,False
310940,BURITIZEIRO,2018-09-23,2018,TENTADO,1,False
312260,DOM JOAQUIM,2018-09-23,2018,TENTADO,1,False
317200,VISCONDE DO RIO BRANCO,2018-09-23,2018,TENTADO,1,False
314800,PATOS DE MINAS,2018-09-23,2018,CONSUMADO,1,False
311230,CAPELINHA,2018-09-25,2018,TENTADO,1,False
311230,CAPELINHA,2018-09-25,2018,CONSUMADO,1,False
310900,BRUMADINHO,2018-09-26,2018,TENTADO,1,False
310020,ABAETE,2018-09-26,2018,CONSUMADO,1,False
314080,MATIAS BARBOSA,2018-09-27,2018,TENTADO,1,False
313550,JEQUERI,2018-09-27,2018,CONSUMADO,1,False
313210,ITACARAMBI,2018-09-28,2018,TENTADO,2,False
313210,ITACARAMBI,2018-09-28,2018,CONSUMADO,1,False
314015,MARIO CAMPOS,2018-09-29,2018,TENTADO,1,False
315000,PESCADOR,2018-09-30,2018,TENTADO,1,False
312230,DIVINOPOLIS,2018-09-30,2018,CONSUMADO,1,False
311910,CORINTO,2018-10-01,2018,TENTADO,1,False
314410,MUZAMBINHO,2018-10-01,2018,TENTADO,1,False
